0,3584
1,3500
2,3412
3,3320
4,3224
5,3123
6,3018
7,2910
8,2797
9,2679
10,2558
11,2433
12,2303
13,2169
14,2032
15,1890
16,1743
17,1593
18,1439
19,1280
20,1117
21,950
22,779
23,604
24,425
25,241
26,53
