0,2975
1,2886
2,2792
3,2692
4,2587
5,2476
6,2360
7,2238
8,2111
9,1978
10,1839
11,1695
12,1546
13,1391
14,1230
15,1064
16,892
17,715
18,533
19,344
20,151
